,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부
1505,1505,광장동,127.101202477543,37.5421350730208,338.697857761715,1,42.4534160013964,6,139.767551580964,8,291.527141295702,0,1,0
1506,1506,광장동,127.101197676454,37.5430364112857,304.810082833963,1,73.6690056833765,7,83.0302471909646,10,232.118637100354,0,1,0
1507,1507,광장동,127.101192875151,37.5439377494121,280.053307504104,1,127.981705680017,7,39.754702704911,10,173.486122088675,1,1,0
1508,1508,광장동,127.101188073634,37.5448390874001,266.979846532829,1,186.168930182643,8,59.951697681772494,8,116.804053785067,1,1,0
1509,1509,광장동,127.101183271903,37.5457404252496,267.309429496941,1,159.622660268698,6,113.733571196215,8,67.2035209236314,1,1,0
1510,1510,광장동,127.101178469958,37.5466417629607,280.994888269793,1,141.838332692111,6,172.057514037702,8,52.123004066735696,1,1,0
1511,1511,광장동,127.1011736678,37.5475431005333,306.250912050837,1,148.608001035764,6,215.782373421883,6,90.8001334311135,1,1,0
1512,1512,광장동,127.101168865427,37.5484444379675,340.512565193557,1,177.138544612427,5,247.510687181977,6,145.257968878995,1,1,0
1513,1513,광장동,127.101164062841,37.5493457752631,381.360301113658,1,219.087391082697,4,288.597689992094,4,203.180810344001,0,1,0
1514,1514,광장동,127.10115926004,37.5502471124204,426.907755878381,0,268.231234326318,2,335.623727025564,3,262.282959801883,0,1,0
1515,1515,광장동,127.101154457026,37.5511484494391,475.807166411481,0,321.285213884906,1,386.426594521797,0,321.915516428323,0,1,0
1516,1516,광장동,127.101149653797,37.5520497863194,527.126508785466,0,376.600398262912,0,437.567141358119,1,381.830043473608,0,1,0
1517,1517,광장동,127.101144850355,37.5529511230613,580.224022483271,0,433.311669894947,0,490.407633234416,1,424.352040990288,0,1,0
1518,1518,광장동,127.101140046699,37.5538524596646,634.653554210422,0,490.935446679982,0,519.644220480881,1,424.697436057134,0,1,0
1519,1519,구의2동,127.101135242828,37.5547537961296,690.099995180347,0,549.184561743017,0,517.440179886327,1,433.57555218149105,0,1,0
1520,1520,구의2동,127.101130438744,37.555655132456,746.336732950626,0,607.879270641453,0,522.28823762933,1,450.482175814226,0,0,0
1521,1521,구의2동,127.101125634446,37.556556468644,803.197780716418,0,666.901927967663,0,533.996348630956,1,474.560007039787,0,0,0
1522,1522,구의2동,127.101120829933,37.5574578046935,860.55939109231,0,648.606240691672,0,552.128269141073,0,504.783896714787,0,0,0
1523,1523,구의2동,127.101116025207,37.5583591406045,918.327765651276,0,620.685344560959,0,576.077749196919,0,540.123070497871,0,0,0
1524,1524,구의2동,127.101111220266,37.559260476377105,976.430708196209,0,597.609321058898,0,605.15447385322,0,579.642684118832,0,0,0
1525,1525,중곡4동,127.101106415112,37.5601618120111,1034.81186120491,0,579.956774867022,1,638.658525472875,0,573.468071339804,0,0,0
