,행정동,center_lat,center_lon,주차장수,최소거리(m)
279,자양3동,37.53843076929265,127.0729241697778,0.0,0.0
280,화양동,37.53933210490961,127.0729190289415,0.0,0.0
281,화양동,37.54023344038805,127.07291388787615,0.0,0.0
282,화양동,37.54113477572797,127.07290874658182,0.0,0.0
283,화양동,37.54203611092936,127.07290360505844,0.0,0.0
284,화양동,37.542937445992195,127.07289846330602,0.0,0.0
285,화양동,37.54383878091654,127.07289332132454,0.0,0.0
286,화양동,37.54474011570234,127.072888179114,0.0,0.0
287,화양동,37.54564145034963,127.07288303667436,0.0,0.0
288,화양동,37.54654278485835,127.07287789400566,0.0,0.0
289,화양동,37.54744411922857,127.07287275110784,1.0,44.0
290,군자동,37.54834545346023,127.07286760798094,0.0,0.0
291,군자동,37.54924678755338,127.07286246462492,0.0,0.0
292,군자동,37.55014812150798,127.07285732103972,0.0,0.0
293,군자동,37.55104945532403,127.07285217722544,0.0,0.0
294,군자동,37.55195078900155,127.072847033182,0.0,0.0
295,군자동,37.55285212254054,127.07284188890937,0.0,0.0
296,군자동,37.55375345594097,127.07283674440755,0.0,0.0
297,군자동,37.554654789202885,127.07283159967658,0.0,0.0
298,군자동,37.55555612232624,127.07282645471638,0.0,0.0
299,군자동,37.55645745531103,127.072821309527,1.0,16.0
300,군자동,37.55735878815731,127.0728161641084,0.0,0.0
301,중곡1동,37.56006278586482,127.07280072647715,0.0,0.0
302,중곡1동,37.56096411815689,127.07279558014162,0.0,0.0
303,자양2동,37.52401346662476,127.07413807183518,0.0,0.0
304,자양2동,37.52491480459018,127.07413294827585,0.0,0.0
305,자양2동,37.525816142417106,127.07412782448831,0.0,0.0
306,자양2동,37.52671748010551,127.07412270047254,0.0,0.0
307,자양2동,37.52761881765543,127.0741175762285,1.0,38.0
308,자양3동,37.52852015506684,127.07411245175618,0.0,0.0
309,자양3동,37.52942149233973,127.0741073270556,0.0,0.0
310,자양3동,37.53032282947411,127.07410220212674,0.0,0.0
311,자양3동,37.53122416647,127.07409707696957,0.0,0.0
312,자양3동,37.53212550332736,127.07409195158412,0.0,0.0
313,자양3동,37.53302684004622,127.07408682597028,0.0,0.0
