법정동코드,주소,새주소-도로명,유무료,경도,위도,법정동명
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091745,37.531638,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075932,37.533836,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091773,37.53159,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075997,37.534519,자양동
10500,서울특별시 광진구 자양동 789 자양8차현대홈타운,뚝섬로36길,유료,127.080743,37.527788,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.09176,37.531526,자양동
10500,서울특별시 광진구 자양동 578 자양우성4차아파트,자양번영로,유료,127.07625,37.535335,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091781,37.531427,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.09179,37.531338,자양동
10500,서울특별시 광진구 자양동 794-2 자양교회,자양번영로,유료,127.07705,37.537573,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.09179,37.531309,자양동
10500,서울특별시 광진구 자양동 580-5,자양번영로,유료,127.075786,37.533711,자양동
10500,서울특별시 광진구 자양동 227-295,자양번영로,유료,127.076996,37.537796,자양동
10500,서울특별시 광진구 자양동 462-7,뚝섬로38길,유료,127.08268,37.527702,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091786,37.531276,자양동
10500,서울특별시 광진구 자양동 454-7,자양번영로5길,유료,127.080684,37.527788,자양동
10500,서울특별시 광진구 자양동 462-7,뚝섬로38길,유료,127.082594,37.527707,자양동
10500,서울특별시 광진구 자양동 227-137,자양번영로,유료,127.076668,37.536702,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091806,37.531231,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091565,37.533974,구의동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091789,37.531145,자양동
10500,서울특별시 광진구 자양동 580-5,자양번영로,유료,127.075786,37.533711,자양동
10500,서울특별시 광진구 자양동 227-141,자양번영로,유료,127.076666,37.536624,자양동
10500,서울특별시 광진구 자양동 806-9 space 66,자양번영로,유료,127.076414,37.535469,자양동
10500,서울특별시 광진구 자양동 580-5,자양번영로,유료,127.075821,37.533463,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.076025,37.534113,자양동
